Step 2305 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2306 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2307 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2308 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2309 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2310 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2311 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2312 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2313 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2314 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2315 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2316 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2317 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2318 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2319 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2320 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2321 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2322 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2323 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2324 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2325 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2326 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2327 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2328 | NS=0.00 EW=0.18 Imb=0.41 Action=0
Step 2329 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2330 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2331 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2332 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2333 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2334 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2335 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2336 | NS=0.00 EW=0.17 Imb=0.42 Action=1
