episode,steps,total_reward,n_states,epsilon,alpha
219,3691,-134976.60000000012,25930,0.05,0.03336220013590307
220,3676,-135653.6,25957,0.05,0.03319538913522355
221,3665,-134324.19999999937,25986,0.05,0.033029412189547434
222,3710,-135533.60000000044,26006,0.05,0.0328642651285997
223,3667,-135469.7999999999,26030,0.05,0.032699943802956696
224,3664,-131802.2000000003,26056,0.05,0.032536444083941914
225,3721,-136373.2,26083,0.05,0.032373761863522206
226,3611,-132145.19999999952,26110,0.05,0.0322118930542046
227,3605,-130908.10000000031,26132,0.05,0.032050833588933576
228,3747,-136868.00000000012,26220,0.05,0.031890579420988906
229,3695,-136683.0,26243,0.05,0.03173112652388396
230,3683,-137769.0,26269,0.05,0.03157247089126454
231,3684,-133180.3999999999,26291,0.05,0.03141460853680822
232,3758,-136592.20000000016,26316,0.05,0.031257535494124175
233,3615,-131180.19999999984,26334,0.05,0.031101247816653552
234,3713,-135571.19999999975,26368,0.05,0.030945741577570286
235,3674,-133817.40000000014,26391,0.05,0.030791012869682433
236,3703,-136718.60000000027,26415,0.05,0.03063705780533402
237,3721,-133777.80000000022,26436,0.05,0.03048387251630735
238,3670,-131944.40000000034,26477,0.05,0.03033145315372581
239,3714,-133970.39999999994,26499,0.05,0.030179795887957182
240,3700,-137844.7999999996,26551,0.05,0.030028896908517396
241,3681,-135362.1999999997,26574,0.05,0.029878752423974808
242,3693,-136035.40000000017,26601,0.05,0.029729358661854933
243,3678,-133504.4000000001,26629,0.05,0.029580711868545658
244,3736,-134844.2000000001,26640,0.05,0.02943280830920293
245,3672,-134140.99999999965,26649,0.05,0.029285644267656914
246,3680,-135514.90000000014,26669,0.05,0.02913921604631863
247,3677,-133349.00000000015,26686,0.05,0.028993519966087036
248,3669,-134958.40000000008,26702,0.05,0.0288485523662566
249,3716,-135371.60000000027,26728,0.05,0.028704309604425316
250,3658,-132743.60000000006,26743,0.05,0.028560788056403188
251,3674,-134248.00000000003,26768,0.05,0.028417984116121172
252,3683,-133554.60000000012,26792,0.05,0.028275894195540566
253,3742,-138428.80000000054,26811,0.05,0.028134514724562864
254,3640,-134454.39999999997,26838,0.05,0.02799384215094005
255,3645,-131348.30000000002,26852,0.05,0.027853872940185348
256,3650,-129612.20000000001,26872,0.05,0.02771460357548442
257,3736,-132074.09999999963,26897,0.05,0.027576030557607
258,3640,-133642.80000000002,26909,0.05,0.027438150404818965
259,3687,-134740.1999999996,26934,0.05,0.02730095965279487
260,3696,-137363.19999999975,26948,0.05,0.027164454854530895
261,3682,-132737.20000000022,26959,0.05,0.02702863258025824
262,3689,-133961.90000000017,26978,0.05,0.02689348941735695
263,3749,-136861.79999999967,27052,0.05,0.026759021970270167
